,Input,Response
3878,Es regnete Stunde um Stunde.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Es regnete Stunde um Stunde."",""model"":""UNK"",""editXml"":""Es regnete Stunde um Stunde."",""corrected"":""Es regnete Stunde um Stunde."",""editOps"":[]}"
3879,Es hat stundenlang geregnet.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Es hat stundenlang geregnet."",""model"":""UNK"",""editXml"":""Es hat stundenlang geregnet."",""corrected"":""Es hat stundenlang geregnet."",""editOps"":[]}"
3880,Um wie viel Uhr öffnet es?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Um wie viel Uhr öffnet es?"",""model"":""UNK"",""editXml"":""Um wie viel Uhr öffnet es?"",""corrected"":""Um wie viel Uhr öffnet es?"",""editOps"":[]}"
3881,Wann wurde es fertiggestellt?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wann wurde es fertiggestellt?"",""model"":""UNK"",""editXml"":""Wann wurde es fertiggestellt?"",""corrected"":""Wann wurde es fertiggestellt?"",""editOps"":[]}"
3882,Wann erreicht dieser Zug Yokohama?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wann erreicht dieser Zug Yokohama?"",""model"":""UNK"",""editXml"":""Wann erreicht dieser Zug Yokohama?"",""corrected"":""Wann erreicht dieser Zug Yokohama?"",""editOps"":[]}"
3883,Wann kannst du kommen?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wann kannst du kommen?"",""model"":""UNK"",""editXml"":""Wann kannst du kommen?"",""corrected"":""Wann kannst du kommen?"",""editOps"":[]}"
3884,Um welche Zeit kannst du kommen?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Um welche Zeit kannst du kommen?"",""model"":""UNK"",""editXml"":""Um welche Zeit kannst du kommen?"",""corrected"":""Um welche Zeit kannst du kommen?"",""editOps"":[]}"
3885,Wann gehst du ins Bett?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wann gehst du ins Bett?"",""model"":""UNK"",""editXml"":""Wann gehst du ins Bett?"",""corrected"":""Wann gehst du ins Bett?"",""editOps"":[]}"
3886,Wann hast du gegessen?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wann hast du gegessen?"",""model"":""UNK"",""editXml"":""Wann hast du gegessen?"",""corrected"":""Wann hast du gegessen?"",""editOps"":[]}"
3887,Wann fängt es an?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wann fängt es an?"",""model"":""UNK"",""editXml"":""Wann fängt es an?"",""corrected"":""Wann fängt es an?"",""editOps"":[]}"
3888,Wann gibt es Abendessen?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wann gibt es Abendessen?"",""model"":""UNK"",""editXml"":""Wann gibt es Abendessen?"",""corrected"":""Wann gibt es Abendessen?"",""editOps"":[]}"
3889,Wann kommt unser Zug in Hakata an?,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Hakata<\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Hakata<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Hagana<\/span>, <span class='LTsuggest'>Kanada<\/span>, <span class='LTsuggest'>Dakota<\/span>, <span class='LTsuggest'>Jakarta<\/span>, <span class='LTsuggest'>Lakota<\/span>, <span class='LTsuggest'>Magath<\/span>, <span class='LTsuggest'>Hekate<\/span>, <span class='LTsuggest'>Hackt<\/span>, <span class='LTsuggest'>Kakadu<\/span>, <span class='LTsuggest'>Masada<\/span><\/p>\n"",""correctedHtml"":""Wann <u title='kommst du nur || kommt unser Zug'>kommt unser Zug<\/u> in Hakata an?"",""model"":""UNK"",""editXml"":""Wann <DBT TOK='kommst du nur || kommt unser Zug'>kommt unser Zug<\/DBT> in Hakata an?"",""corrected"":""Wann kommt unser Zug in Hakata an?"",""editOps"":[{""LTID"":"""",""beg"":5,""kind"":""DBT"",""alt"":""kommst du nur || kommt unser Zug"",""text"":""kommt unser Zug""}]}"
3890,Um wie viel Uhr stehst du auf?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Um wie viel Uhr stehst du auf?"",""model"":""UNK"",""editXml"":""Um wie viel Uhr stehst du auf?"",""corrected"":""Um wie viel Uhr stehst du auf?"",""editOps"":[]}"
3891,Wann bist du aufgestanden?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wann bist du aufgestanden?"",""model"":""UNK"",""editXml"":""Wann bist du aufgestanden?"",""corrected"":""Wann bist du aufgestanden?"",""editOps"":[]}"
3892,Wann kommst du heim?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wann kommst du <u title='hin || heim'>heim<\/u>?"",""model"":""UNK"",""editXml"":""Wann kommst du <DBT TOK='hin || heim'>heim<\/DBT>?"",""corrected"":""Wann kommst du heim?"",""editOps"":[{""LTID"":"""",""beg"":15,""kind"":""DBT"",""alt"":""hin || heim"",""text"":""heim""}]}"
3893,Wann und wo könnten wir uns treffen?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wann und wo könnten wir uns treffen?"",""model"":""UNK"",""editXml"":""Wann und wo könnten wir uns treffen?"",""corrected"":""Wann und wo könnten wir uns treffen?"",""editOps"":[]}"
3894,Wann sind Sie dort angekommen?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wann sind Sie dort angekommen?"",""model"":""UNK"",""editXml"":""Wann sind Sie dort angekommen?"",""corrected"":""Wann sind Sie dort angekommen?"",""editOps"":[]}"
3895,Ab wie viel Uhr kann man einchecken?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ab wie viel Uhr kann man einchecken?"",""model"":""UNK"",""editXml"":""Ab wie viel Uhr kann man einchecken?"",""corrected"":""Ab wie viel Uhr kann man einchecken?"",""editOps"":[]}"
3896,Wann passt es dir?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wann passt es dir?"",""model"":""UNK"",""editXml"":""Wann passt es dir?"",""corrected"":""Wann passt es dir?"",""editOps"":[]}"
3897,Mache keine halben Sachen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Mache keine halben Sachen."",""model"":""UNK"",""editXml"":""Mache keine halben Sachen."",""corrected"":""Mache keine halben Sachen."",""editOps"":[]}"
3898,Du kannst nicht in allem deinen Willen haben.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du kannst nicht in allem deinen Willen haben."",""model"":""UNK"",""editXml"":""Du kannst nicht in allem deinen Willen haben."",""corrected"":""Du kannst nicht in allem deinen Willen haben."",""editOps"":[]}"
3899,Ihr könnt nicht in allem euren Willen haben.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ihr könnt nicht in allem euren Willen haben."",""model"":""UNK"",""editXml"":""Ihr könnt nicht in allem euren Willen haben."",""corrected"":""Ihr könnt nicht in allem euren Willen haben."",""editOps"":[]}"
3900,Sie können nicht in allem Ihren Willen haben.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Sie können nicht in allem Ihren Willen haben."",""model"":""UNK"",""editXml"":""Sie können nicht in allem Ihren Willen haben."",""corrected"":""Sie können nicht in allem Ihren Willen haben."",""editOps"":[]}"
3901,Alles muss ein Ende haben.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Alles muss ein Ende haben."",""model"":""UNK"",""editXml"":""Alles muss ein Ende haben."",""corrected"":""Alles muss ein Ende haben."",""editOps"":[]}"
3902,Alles muss einmal ein Ende haben.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Alles muss einmal ein Ende haben."",""model"":""UNK"",""editXml"":""Alles muss einmal ein Ende haben."",""corrected"":""Alles muss einmal ein Ende haben."",""editOps"":[]}"
3903,"Versuche, zu allen Dingen eine positive Einstellung einzunehmen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Versuche, zu allen Dingen eine positive Einstellung einzunehmen."",""model"":""UNK"",""editXml"":""Versuche, zu allen Dingen eine positive Einstellung einzunehmen."",""corrected"":""Versuche, zu allen Dingen eine positive Einstellung einzunehmen."",""editOps"":[]}"
3904,Gebt in allem euer Bestes!,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Gebt <u title='ihn alle, Euer || in allem euer'>in allem euer<\/u> Bestes!"",""model"":""UNK"",""editXml"":""Gebt <DBT TOK='ihn alle, Euer || in allem euer'>in allem euer<\/DBT> Bestes!"",""corrected"":""Gebt in allem euer Bestes!"",""editOps"":[{""LTID"":"""",""beg"":5,""kind"":""DBT"",""alt"":""ihn alle, Euer || in allem euer"",""text"":""in allem euer""}]}"
3905,Geben Sie in allem Ihr Bestes!,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Geben Sie in <u title='allen || allem'>allem<\/u> Ihr Bestes!"",""model"":""UNK"",""editXml"":""Geben Sie in <DBT TOK='allen || allem'>allem<\/DBT> Ihr Bestes!"",""corrected"":""Geben Sie in allem Ihr Bestes!"",""editOps"":[{""LTID"":"""",""beg"":13,""kind"":""DBT"",""alt"":""allen || allem"",""text"":""allem""}]}"
3906,Du solltest in allem dein Bestes geben.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du solltest <u title='ihm alles || in allem'>in allem<\/u> dein Bestes geben."",""model"":""UNK"",""editXml"":""Du solltest <DBT TOK='ihm alles || in allem'>in allem<\/DBT> dein Bestes geben."",""corrected"":""Du solltest in allem dein Bestes geben."",""editOps"":[{""LTID"":"""",""beg"":12,""kind"":""DBT"",""alt"":""ihm alles || in allem"",""text"":""in allem""}]}"
3907,Ihr solltet in allem euer Bestes geben.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ihr solltet in allem euer Bestes geben."",""model"":""UNK"",""editXml"":""Ihr solltet in allem euer Bestes geben."",""corrected"":""Ihr solltet in allem euer Bestes geben."",""editOps"":[]}"
3908,"Versuche, in allem dein Bestes zu geben!","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Versuche, in <u title='allen || allem'>allem<\/u> dein Bestes zu geben!"",""model"":""UNK"",""editXml"":""Versuche, in <DBT TOK='allen || allem'>allem<\/DBT> dein Bestes zu geben!"",""corrected"":""Versuche, in allem dein Bestes zu geben!"",""editOps"":[{""LTID"":"""",""beg"":13,""kind"":""DBT"",""alt"":""allen || allem"",""text"":""allem""}]}"
3909,"Versuchen Sie, in allem Ihr Bestes zu geben!","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Versuchen Sie, in allem Ihr Bestes zu geben!"",""model"":""UNK"",""editXml"":""Versuchen Sie, in allem Ihr Bestes zu geben!"",""corrected"":""Versuchen Sie, in allem Ihr Bestes zu geben!"",""editOps"":[]}"
3910,"Ich werde dir beistehen, was auch immer geschieht.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich werde dir beistehen, was auch immer geschieht."",""model"":""UNK"",""editXml"":""Ich werde dir beistehen, was auch immer geschieht."",""corrected"":""Ich werde dir beistehen, was auch immer geschieht."",""editOps"":[]}"
3911,"Was auch immer geschehen mag, ich bin darauf vorbereitet.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Was auch immer geschehen mag, ich bin darauf vorbereitet."",""model"":""UNK"",""editXml"":""Was auch immer geschehen mag, ich bin darauf vorbereitet."",""corrected"":""Was auch immer geschehen mag, ich bin darauf vorbereitet."",""editOps"":[]}"
3912,Welche Sprache spricht man in Amerika?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Welche Sprache spricht man in Amerika?"",""model"":""UNK"",""editXml"":""Welche Sprache spricht man in Amerika?"",""corrected"":""Welche Sprache spricht man in Amerika?"",""editOps"":[]}"
3913,Warum hat sie mich unterbrochen?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Warum hat sie mich unterbrochen?"",""model"":""UNK"",""editXml"":""Warum hat sie mich unterbrochen?"",""corrected"":""Warum hat sie mich unterbrochen?"",""editOps"":[]}"
3914,Warum hast du es ihr nicht gesagt?,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>hast, du, es, ihr<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Warum hast du es ihr nicht gesagt?"",""model"":""UNK"",""editXml"":""Warum hast du es ihr nicht gesagt?"",""corrected"":""Warum hast du es ihr nicht gesagt?"",""editOps"":[]}"
3915,Warum warst du die ganze Zeit still?,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Zeit<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Warum warst du die ganze Zeit still?"",""model"":""UNK"",""editXml"":""Warum warst du die ganze Zeit still?"",""corrected"":""Warum warst du die ganze Zeit still?"",""editOps"":[]}"
3916,Warum geht Mary mit ihm zum Picknick?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Warum geht Mary mit ihm zum Picknick?"",""model"":""UNK"",""editXml"":""Warum geht Mary mit ihm zum Picknick?"",""corrected"":""Warum geht Mary mit ihm zum Picknick?"",""editOps"":[]}"
3917,Denn ich kann Chinesisch.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Denn ich kann Chinesisch."",""model"":""UNK"",""editXml"":""Denn ich kann Chinesisch."",""corrected"":""Denn ich kann Chinesisch."",""editOps"":[]}"
3918,Aus welchem Grund warst du dort?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Aus welchem Grund warst du dort?"",""model"":""UNK"",""editXml"":""Aus welchem Grund warst du dort?"",""corrected"":""Aus welchem Grund warst du dort?"",""editOps"":[]}"
3919,"Was meinst du, warum ich es nie sage?","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Was meinst du, warum ich es nie sage?"",""model"":""UNK"",""editXml"":""Was meinst du, warum ich es nie sage?"",""corrected"":""Was meinst du, warum ich es nie sage?"",""editOps"":[]}"
3920,Einige der Vögel flogen nicht.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Einige der Vögel flogen nicht."",""model"":""UNK"",""editXml"":""Einige der Vögel flogen nicht."",""corrected"":""Einige der Vögel flogen nicht."",""editOps"":[]}"
3921,Was gibt es da zu lachen?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Was gibt es da zu lachen?"",""model"":""UNK"",""editXml"":""Was gibt es da zu lachen?"",""corrected"":""Was gibt es da zu lachen?"",""editOps"":[]}"
3922,"Wir diskutierten stundenlang, was wir schreiben sollten.","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>diskutierten, was<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Wir diskutierten stundenlang, was wir schreiben sollten."",""model"":""UNK"",""editXml"":""Wir diskutierten stundenlang, was wir schreiben sollten."",""corrected"":""Wir diskutierten stundenlang, was wir schreiben sollten."",""editOps"":[]}"
3923,"Ich wüsste zu gern, was du gerade denkst.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich wüsste zu gern, was du gerade denkst."",""model"":""UNK"",""editXml"":""Ich wüsste zu gern, was du gerade denkst."",""corrected"":""Ich wüsste zu gern, was du gerade denkst."",""editOps"":[]}"
3924,Was fällt dir ein?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Was fällt dir ein?"",""model"":""UNK"",""editXml"":""Was fällt dir ein?"",""corrected"":""Was fällt dir ein?"",""editOps"":[]}"
3925,Worüber denkst du nach?,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>denkst, du<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Worüber denkst du <u title='noch || nach'>nach<\/u>?"",""model"":""UNK"",""editXml"":""Worüber denkst du <DBT TOK='noch || nach'>nach<\/DBT>?"",""corrected"":""Worüber denkst du nach?"",""editOps"":[{""LTID"":"""",""beg"":18,""kind"":""DBT"",""alt"":""noch || nach"",""text"":""nach""}]}"
3926,An was denkst du?,"{""explainHtml"":""<p  class='LT2'><b>An was<\/b> : Möchten Sie das standardsprachliche <b>Woran<\/b> verwenden?<br\/>→ <span class='LTsuggest'>Woran<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>An was<\/b> : Möchten Sie das standardsprachliche <b>Woran<\/b> verwenden?<br\/>→ <span class='LTsuggest'>Woran<\/span><\/p>\n"",""correctedHtml"":""<u class='LT2'>An<\/u> <u class='LT2'>was<\/u> denkst du?"",""model"":""UNK"",""editXml"":""<DBT RID='LT2'>An<\/DBT> <DBT RID='LT2'>was<\/DBT> denkst du?"",""corrected"":""An was denkst du?"",""editOps"":[{""LTID"":""LT2"",""beg"":0,""kind"":""DBT"",""alt"":"""",""text"":""An""},{""LTID"":""LT2"",""beg"":3,""kind"":""DBT"",""alt"":"""",""text"":""was""}]}"
3927,"Unwissend, was sie sagen sollte, blieb sie stumm.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Unwissend, was sie sagen sollte, blieb sie stumm."",""model"":""UNK"",""editXml"":""Unwissend, was sie sagen sollte, blieb sie stumm."",""corrected"":""Unwissend, was sie sagen sollte, blieb sie stumm."",""editOps"":[]}"
3928,"Da sie nicht wusste, was sie sagen sollte, schwieg sie.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Da sie nicht wusste, was sie sagen sollte, schwieg sie."",""model"":""UNK"",""editXml"":""Da sie nicht wusste, was sie sagen sollte, schwieg sie."",""corrected"":""Da sie nicht wusste, was sie sagen sollte, schwieg sie."",""editOps"":[]}"
3929,"Nicht wissend, was sie sagen sollte, schwieg sie.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Nicht wissend, was sie sagen sollte, <u title='schwierig || schwieg'>schwieg<\/u> sie."",""model"":""UNK"",""editXml"":""Nicht wissend, was sie sagen sollte, <DBT TOK='schwierig || schwieg'>schwieg<\/DBT> sie."",""corrected"":""Nicht wissend, was sie sagen sollte, schwieg sie."",""editOps"":[{""LTID"":"""",""beg"":37,""kind"":""DBT"",""alt"":""schwierig || schwieg"",""text"":""schwieg""}]}"
3930,"Was man sagt, ist wichtiger, als wie man es sagt.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Was man sagt, ist wichtiger, als wie man es sagt."",""model"":""UNK"",""editXml"":""Was man sagt, ist wichtiger, als wie man es sagt."",""corrected"":""Was man sagt, ist wichtiger, als wie man es sagt."",""editOps"":[]}"
3931,"Da ich nicht wusste, was ich mir ansehen sollte, fragte ich ihn um Rat.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Da ich nicht wusste, was ich <u title='mich || mir'>mir<\/u> ansehen sollte, fragte ich ihn um Rat."",""model"":""UNK"",""editXml"":""Da ich nicht wusste, was ich <DBT TOK='mich || mir'>mir<\/DBT> ansehen sollte, fragte ich ihn um Rat."",""corrected"":""Da ich nicht wusste, was ich mir ansehen sollte, fragte ich ihn um Rat."",""editOps"":[{""LTID"":"""",""beg"":29,""kind"":""DBT"",""alt"":""mich || mir"",""text"":""mir""}]}"
3932,Was macht dich so traurig?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Was macht dich so traurig?"",""model"":""UNK"",""editXml"":""Was macht dich so traurig?"",""corrected"":""Was macht dich so traurig?"",""editOps"":[]}"
3933,"Du wirst Erfolg haben, was du auch tust.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du wirst Erfolg haben, was du auch tust."",""model"":""UNK"",""editXml"":""Du wirst Erfolg haben, was du auch tust."",""corrected"":""Du wirst Erfolg haben, was du auch tust."",""editOps"":[]}"
3934,Was sollen wir spielen?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Was sollen wir spielen?"",""model"":""UNK"",""editXml"":""Was sollen wir spielen?"",""corrected"":""Was sollen wir spielen?"",""editOps"":[]}"
3935,"Es ist klar, was getan werden muss.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Es ist klar, was getan werden muss."",""model"":""UNK"",""editXml"":""Es ist klar, was getan werden muss."",""corrected"":""Es ist klar, was getan werden muss."",""editOps"":[]}"
3936,"Darf ich Ihnen helfen, gnädige Frau?","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Darf ich Ihnen helfen, gnädige Frau?"",""model"":""UNK"",""editXml"":""Darf ich Ihnen helfen, gnädige Frau?"",""corrected"":""Darf ich Ihnen helfen, gnädige Frau?"",""editOps"":[]}"
3937,"Da ich nichts zu sagen wusste, schwieg ich.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Da ich nichts zu sagen wusste, schwieg ich."",""model"":""UNK"",""editXml"":""Da ich nichts zu sagen wusste, schwieg ich."",""corrected"":""Da ich nichts zu sagen wusste, schwieg ich."",""editOps"":[]}"
3938,Aus irgendeinem Grund schüttelte sie den Kopf.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Aus irgendeinem Grund schüttelte sie den Kopf."",""model"":""UNK"",""editXml"":""Aus irgendeinem Grund schüttelte sie den Kopf."",""corrected"":""Aus irgendeinem Grund schüttelte sie den Kopf."",""editOps"":[]}"
3939,Wegen technischer Probleme wurde anstelle der angekündigten Sendung ein Film gezeigt.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wegen technischer Probleme wurde anstelle der angekündigten Sendung ein Film gezeigt."",""model"":""UNK"",""editXml"":""Wegen technischer Probleme wurde anstelle der angekündigten Sendung ein Film gezeigt."",""corrected"":""Wegen technischer Probleme wurde anstelle der angekündigten Sendung ein Film gezeigt."",""editOps"":[]}"
3940,Ich liebe Joggen über alles.,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>liebe, Joggen, über<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Ich liebe Joggen über alles."",""model"":""UNK"",""editXml"":""Ich liebe Joggen über alles."",""corrected"":""Ich liebe Joggen über alles."",""editOps"":[]}"
3941,Und lüge vor allem nicht.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Und lüge vor allem nicht."",""model"":""UNK"",""editXml"":""Und lüge vor allem nicht."",""corrected"":""Und lüge vor allem nicht."",""editOps"":[]}"
3942,Habt vor allen Dingen Geduld.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Habt vor allen Dingen Geduld."",""model"":""UNK"",""editXml"":""Habt vor allen Dingen Geduld."",""corrected"":""Habt vor allen Dingen Geduld."",""editOps"":[]}"
3943,Vor allem müsst ihr euch gegenseitig helfen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Vor allem müsst ihr euch gegenseitig helfen."",""model"":""UNK"",""editXml"":""Vor allem müsst ihr euch gegenseitig helfen."",""corrected"":""Vor allem müsst ihr euch gegenseitig helfen."",""editOps"":[]}"
3944,"Bist du sicher, dass du nichts vergessen hast?","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>du<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Bist du sicher, dass du nichts vergessen hast?"",""model"":""UNK"",""editXml"":""Bist du sicher, dass du nichts vergessen hast?"",""corrected"":""Bist du sicher, dass du nichts vergessen hast?"",""editOps"":[]}"
3945,Du hast nichts zu befürchten.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du hast nichts zu befürchten."",""model"":""UNK"",""editXml"":""Du hast nichts zu befürchten."",""corrected"":""Du hast nichts zu befürchten."",""editOps"":[]}"
3946,Du musst dich nicht schämen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du musst dich nicht schämen."",""model"":""UNK"",""editXml"":""Du musst dich nicht schämen."",""corrected"":""Du musst dich nicht schämen."",""editOps"":[]}"
3947,"Wer nichts hat, kann nichts verlieren.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wer nichts hat, kann nichts verlieren."",""model"":""UNK"",""editXml"":""Wer nichts hat, kann nichts verlieren."",""corrected"":""Wer nichts hat, kann nichts verlieren."",""editOps"":[]}"
3948,"Wer nichts hat, hat nichts zu verlieren.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wer nichts hat, hat nichts zu verlieren."",""model"":""UNK"",""editXml"":""Wer nichts hat, hat nichts zu verlieren."",""corrected"":""Wer nichts hat, hat nichts zu verlieren."",""editOps"":[]}"
3949,Alles deutet auf seine Schuld.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Alles deutet auf seine Schuld."",""model"":""UNK"",""editXml"":""Alles deutet auf seine Schuld."",""corrected"":""Alles deutet auf seine Schuld."",""editOps"":[]}"
3950,"Glücklich sind die, die alles vergessen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Glücklich sind die, die alles vergessen."",""model"":""UNK"",""editXml"":""Glücklich sind die, die alles vergessen."",""corrected"":""Glücklich sind die, die alles vergessen."",""editOps"":[]}"
3951,"Glücklich ist, wer vergisst.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Glücklich ist, wer vergisst."",""model"":""UNK"",""editXml"":""Glücklich ist, wer vergisst."",""corrected"":""Glücklich ist, wer vergisst."",""editOps"":[]}"
3952,Manchmal geht alles daneben.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Manchmal geht alles daneben."",""model"":""UNK"",""editXml"":""Manchmal geht alles daneben."",""corrected"":""Manchmal geht alles daneben."",""editOps"":[]}"
3953,Alles ist jetzt für dich bereit.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Alles ist jetzt für dich bereit."",""model"":""UNK"",""editXml"":""Alles ist jetzt für dich bereit."",""corrected"":""Alles ist jetzt für dich bereit."",""editOps"":[]}"
3954,Vor allem solltest du besser auf deine Gesundheit achten.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Vor allem solltest du besser auf deine Gesundheit achten."",""model"":""UNK"",""editXml"":""Vor allem solltest du besser auf deine Gesundheit achten."",""corrected"":""Vor allem solltest du besser auf deine Gesundheit achten."",""editOps"":[]}"
3955,Vor allem solltet ihr besser auf eure Gesundheit achten.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Vor allem solltet ihr besser auf eure Gesundheit achten."",""model"":""UNK"",""editXml"":""Vor allem solltet ihr besser auf eure Gesundheit achten."",""corrected"":""Vor allem solltet ihr besser auf eure Gesundheit achten."",""editOps"":[]}"
